Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53	KIRC	4	47	6	424
TCEB1	KIRC	3	61	0	379
SETD2	KIRC	45	388	1	53
PTEN	KIRC	7	81	5	398
KDM5C	KIRC	0	48	18	412
PIK3CA	KIRC	1	55	3	361
ATM	KIRC	2	25	11	437
MTOR	KIRC	10	87	19	382
KIF1A	KIRC	0	44	4	385
PBRM1	KIRC	140	292	1	54
VHL	KIRC	151	281	8	47
BAP1	KIRC	34	398	0	56
