Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
TP53	GBM	6	8	26	149
PIK3R1	GBM	0	14	21	169
IDH1	GBM	0	9	7	193
PTEN	GBM	0	1	1	11
TCF12	GBM	0	7	1	165
LZTR1	GBM	0	15	1	139
NF1	GBM	0	22	8	164
STAG2	GBM	0	7	8	156
PIK3CA	GBM	2	33	17	160
PDGFRA	GBM	5	38	1	164
SPTA1	GBM	3	32	13	169
EGFR	GBM	40	164	0	17
ATRX	GBM	1	9	6	154
RB1	GBM	0	6	1	129
BRAF	GBM	1	188	0	32
