Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
AKT1	PRAD	1	14	2	346
TP53	PRAD	0	0	7	248
IDH1	PRAD	0	10	3	363
FOXA1	PRAD	2	23	17	325
PTEN	PRAD	0	6	1	252
APC	PRAD	0	15	2	323
MED12	PRAD	0	10	5	354
ZMYM3	PRAD	0	10	6	353
PIK3CA	PRAD	1	64	5	315
KDM6A	PRAD	0	15	7	346
HRAS	PRAD	1	25	3	348
CTNNB1	PRAD	1	35	6	345
KMT2D	PRAD	2	12	16	345
SPOP	PRAD	0	18	45	314
BRAF	PRAD	1	81	4	303
