Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53	ESCA	70	12	58	6
NFE2L2	ESCA	2	17	10	82
CDKN2A	ESCA	13	53	1	26
ARID1A	ESCA	6	61	4	77
ZNF750	ESCA	5	32	5	74
PIK3CA	ESCA	0	11	6	39
SMAD4	ESCA	9	92	0	35
FBXW7	ESCA	3	84	4	51
KMT2D	ESCA	1	34	9	86
NSD1	ESCA	0	75	5	65
ERBB2	ESCA	0	17	1	81
NOTCH1	ESCA	3	43	3	60
PTCH1	ESCA	2	55	2	63
