Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
STK11	LUAD	4	15	18	164
TP53	LUAD	12	15	50	125
CDKN2A	LUAD	0	38	4	132
SETD2	LUAD	2	18	15	191
KRAS	LUAD	54	72	56	142
ARID1A	LUAD	2	90	11	209
KEAP1	LUAD	2	13	14	172
NF1	LUAD	17	120	19	199
MGA	LUAD	0	25	7	162
PIK3CA	LUAD	4	87	10	195
ATM	LUAD	3	85	16	208
RBM10	LUAD	3	40	15	262
EGFR	LUAD	46	161	6	163
CTNNB1	LUAD	0	24	9	197
SMARCA4	LUAD	1	13	7	180
RB1	LUAD	1	29	10	146
U2AF1	LUAD	6	79	5	189
BRAF	LUAD	9	153	18	177
MET	LUAD	7	153	7	185
