Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
STK11	LUAD	41	157	18	164
TP53	LUAD	112	83	50	125
CDKN2A	LUAD	9	153	4	132
SETD2	LUAD	11	164	15	191
KRAS	LUAD	18	59	56	142
ARID1A	LUAD	4	84	11	209
KEAP1	LUAD	53	145	14	172
NF1	LUAD	7	39	19	199
MGA	LUAD	12	185	7	162
PIK3CA	LUAD	3	100	10	195
ATM	LUAD	11	76	16	208
RBM10	LUAD	7	72	15	262
EGFR	LUAD	1	22	6	163
CTNNB1	LUAD	3	168	9	197
SMARCA4	LUAD	19	179	7	180
RB1	LUAD	8	199	10	146
U2AF1	LUAD	2	119	5	189
BRAF	LUAD	0	44	18	177
MET	LUAD	2	45	7	185
