Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
AKT1	PRAD	0	31	2	346
TP53	PRAD	43	81	7	248
IDH1	PRAD	0	20	3	363
FOXA1	PRAD	0	28	17	325
PTEN	PRAD	9	54	1	252
APC	PRAD	5	42	2	323
MED12	PRAD	0	26	5	354
ZMYM3	PRAD	0	26	6	353
PIK3CA	PRAD	0	6	5	315
KDM6A	PRAD	0	25	7	346
HRAS	PRAD	0	19	3	348
CTNNB1	PRAD	0	9	6	345
KMT2D	PRAD	3	18	16	345
SPOP	PRAD	0	18	45	314
BRAF	PRAD	0	7	4	303
