Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53_FOXQ1	BLCA	WOSecondM	104	83	52	90
TP53_SPTAN1	BLCA	WithSecondM	9	9	7	17
TP53_SPTAN1	BLCA	WOSecondM	101	78	46	77
TP53_CDKN1A	BLCA	WithSecondM	8	12	5	11
TP53_CDKN1A	BLCA	WOSecondM	102	75	48	83
TP53_ATM	BLCA	WithSecondM	12	13	3	15
TP53_ATM	BLCA	WOSecondM	98	74	50	79
TP53_SF3B1	BLCA	WithSecondM	4	8	4	5
TP53_SF3B1	BLCA	WOSecondM	106	79	49	89
TP53_ERCC2	BLCA	WithSecondM	8	11	6	5
TP53_ERCC2	BLCA	WOSecondM	102	76	47	89
TP53_SF1	BLCA	WithSecondM	5	3	2	2
TP53_SF1	BLCA	WOSecondM	105	84	51	92
TP53_CTNNB1	BLCA	WithSecondM	2	6	2	4
TP53_CTNNB1	BLCA	WOSecondM	108	81	51	90
TP53_TXNIP	BLCA	WithSecondM	6	3	4	2
TP53_TXNIP	BLCA	WOSecondM	104	84	49	92
TP53_ELF3	BLCA	WithSecondM	19	20	4	7
TP53_ELF3	BLCA	WOSecondM	91	67	49	87
TP53_TSC1	BLCA	WithSecondM	9	11	3	8
TP53_TSC1	BLCA	WOSecondM	101	76	50	86
TP53_KANSL1	BLCA	WithSecondM	5	7	5	5
TP53_KANSL1	BLCA	WOSecondM	105	80	48	89
TP53_NFE2L2	BLCA	WithSecondM	5	4	2	13
TP53_NFE2L2	BLCA	WOSecondM	105	83	51	81
TP53_ASXL2	BLCA	WithSecondM	11	6	4	8
TP53_ASXL2	BLCA	WOSecondM	99	81	49	86
TP53_NRAS	BLCA	WithSecondM	5	3	1	2
TP53_NRAS	BLCA	WOSecondM	105	84	52	92
TP53_RB1	BLCA	WithSecondM	26	6	19	9
TP53_RB1	BLCA	WOSecondM	84	81	34	85
TP53_KLF5	BLCA	WithSecondM	4	4	4	8
TP53_KLF5	BLCA	WOSecondM	106	83	49	86
TP53_RBM10	BLCA	WithSecondM	5	7	3	1
TP53_RBM10	BLCA	WOSecondM	105	80	50	93
TP53_KDM6A	BLCA	WithSecondM	35	21	17	19
TP53_KDM6A	BLCA	WOSecondM	75	66	36	75
TP53_CUL1	BLCA	WithSecondM	8	1	4	3
TP53_CUL1	BLCA	WOSecondM	102	86	49	91
TP53_FBXW7	BLCA	WithSecondM	4	11	6	9
TP53_FBXW7	BLCA	WOSecondM	106	76	47	85
TP53_KMT2C	BLCA	WithSecondM	24	15	8	18
TP53_KMT2C	BLCA	WOSecondM	86	72	45	76
TP53_ERBB3	BLCA	WithSecondM	15	10	4	9
TP53_ERBB3	BLCA	WOSecondM	95	77	49	85
TP53_CDKN2A	BLCA	WithSecondM	9	4	5	2
TP53_CDKN2A	BLCA	WOSecondM	101	83	48	92
TP53_DIAPH2	BLCA	WithSecondM	7	5	5	4
TP53_DIAPH2	BLCA	WOSecondM	103	82	48	90
TP53_KMT2D	BLCA	WithSecondM	35	20	11	23
TP53_KMT2D	BLCA	WOSecondM	75	67	42	71
TP53_STAG2	BLCA	WithSecondM	20	14	4	17
TP53_STAG2	BLCA	WOSecondM	90	73	49	77
TP53_RXRA	BLCA	WithSecondM	7	10	3	5
TP53_RXRA	BLCA	WOSecondM	103	77	50	89
TP53_ZFP36L1	BLCA	WithSecondM	7	9	6	7
TP53_ZFP36L1	BLCA	WOSecondM	103	78	47	87
TP53_HRAS	BLCA	WithSecondM	4	3	2	9
TP53_HRAS	BLCA	WOSecondM	106	84	51	85
TP53_RHOB	BLCA	WithSecondM	13	4	4	4
TP53_RHOB	BLCA	WOSecondM	97	83	49	90
TP53_RHOA	BLCA	WithSecondM	9	5	3	6
TP53_RHOA	BLCA	WOSecondM	101	82	50	88
TP53_EP300	BLCA	WithSecondM	17	7	9	13
TP53_EP300	BLCA	WOSecondM	93	80	44	81
TP53_FGFR3	BLCA	WithSecondM	9	13	5	26
TP53_FGFR3	BLCA	WOSecondM	101	74	48	68
TP53_KRAS	BLCA	WithSecondM	4	4	2	8
TP53_KRAS	BLCA	WOSecondM	106	83	51	86
TP53_PSIP1	BLCA	WithSecondM	9	6	1	3
TP53_PSIP1	BLCA	WOSecondM	101	81	52	91
TP53_ERBB2	BLCA	WithSecondM	14	8	8	13
TP53_ERBB2	BLCA	WOSecondM	96	79	45	81
TP53_ARID1A	BLCA	WithSecondM	21	25	12	28
TP53_ARID1A	BLCA	WOSecondM	89	62	41	66
TP53_FOXA1	BLCA	WithSecondM	5	3	4	3
TP53_FOXA1	BLCA	WOSecondM	105	84	49	91
TP53_PTEN	BLCA	WithSecondM	4	4	3	3
TP53_PTEN	BLCA	WOSecondM	106	83	50	91
TP53_FAT1	BLCA	WithSecondM	16	9	4	12
TP53_FAT1	BLCA	WOSecondM	94	78	49	82
TP53_GNA13	BLCA	WithSecondM	4	5	1	2
TP53_GNA13	BLCA	WOSecondM	106	82	52	92
TP53_PIK3CA	BLCA	WithSecondM	28	15	12	21
TP53_PIK3CA	BLCA	WOSecondM	82	72	41	73
TP53_CREBBP	BLCA	WithSecondM	16	8	8	12
TP53_CREBBP	BLCA	WOSecondM	94	79	45	82
RB1_FOXQ1	BLCA	WithSecondM	2	5	1	4
RB1_FOXQ1	BLCA	WOSecondM	35	73	18	158
RB1_SPTAN1	BLCA	WithSecondM	5	11	2	25
RB1_SPTAN1	BLCA	WOSecondM	32	67	17	137
RB1_CDKN1A	BLCA	WithSecondM	6	7	2	14
RB1_CDKN1A	BLCA	WOSecondM	31	71	17	148
RB1_ATM	BLCA	WithSecondM	4	10	4	19
RB1_ATM	BLCA	WOSecondM	33	68	15	143
RB1_SF3B1	BLCA	WithSecondM	1	6	1	11
RB1_SF3B1	BLCA	WOSecondM	36	72	18	151
RB1_ERCC2	BLCA	WithSecondM	3	16	3	5
RB1_ERCC2	BLCA	WOSecondM	34	62	16	157
RB1_SF1	BLCA	WithSecondM	3	3	1	2
RB1_SF1	BLCA	WOSecondM	34	75	18	160
RB1_CTNNB1	BLCA	WithSecondM	1	3	1	8
RB1_CTNNB1	BLCA	WOSecondM	36	75	18	154
RB1_TXNIP	BLCA	WithSecondM	3	3	3	5
RB1_TXNIP	BLCA	WOSecondM	34	75	16	157
RB1_ELF3	BLCA	WithSecondM	3	9	1	21
RB1_ELF3	BLCA	WOSecondM	34	69	18	141
RB1_TSC1	BLCA	WithSecondM	2	9	3	14
RB1_TSC1	BLCA	WOSecondM	35	69	16	148
RB1_KANSL1	BLCA	WithSecondM	3	6	2	9
RB1_KANSL1	BLCA	WOSecondM	34	72	17	153
RB1_TP53	BLCA	WithSecondM	30	41	14	52
