Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
STK11_EGFR	LUAD	WOSecondM	42	130	19	142
STK11_RB1	LUAD	WithSecondM	1	6	1	9
STK11_RB1	LUAD	WOSecondM	42	153	19	157
STK11_MET	LUAD	WithSecondM	1	5	1	6
STK11_MET	LUAD	WOSecondM	42	154	19	160
STK11_RBM10	LUAD	WithSecondM	4	7	2	14
STK11_RBM10	LUAD	WOSecondM	39	152	18	152
STK11_BRAF	LUAD	WithSecondM	4	6	1	18
STK11_BRAF	LUAD	WOSecondM	39	153	19	148
STK11_NF1	LUAD	WithSecondM	4	5	1	19
STK11_NF1	LUAD	WOSecondM	39	154	19	147
STK11_SETD2	LUAD	WithSecondM	1	9	3	14
STK11_SETD2	LUAD	WOSecondM	42	150	17	152
STK11_SMARCA4	LUAD	WithSecondM	5	11	1	6
STK11_SMARCA4	LUAD	WOSecondM	38	148	19	160
STK11_KRAS	LUAD	WithSecondM	21	50	14	44
STK11_KRAS	LUAD	WOSecondM	22	109	6	122
SMARCA4_CTNNB1	LUAD	WithSecondM	1	6	1	3
SMARCA4_CTNNB1	LUAD	WOSecondM	15	180	7	180
SMARCA4_MGA	LUAD	WithSecondM	1	8	1	5
SMARCA4_MGA	LUAD	WOSecondM	15	178	7	178
SMARCA4_CDKN2A	LUAD	WithSecondM	2	6	2	6
SMARCA4_CDKN2A	LUAD	WOSecondM	14	180	6	177
SMARCA4_TP53	LUAD	WithSecondM	6	89	6	71
SMARCA4_TP53	LUAD	WOSecondM	10	97	2	112
SMARCA4_KEAP1	LUAD	WithSecondM	6	35	1	10
SMARCA4_KEAP1	LUAD	WOSecondM	10	151	7	173
SMARCA4_U2AF1	LUAD	WithSecondM	1	7	1	7
SMARCA4_U2AF1	LUAD	WOSecondM	15	179	7	176
SMARCA4_PIK3CA	LUAD	WithSecondM	1	5	1	11
SMARCA4_PIK3CA	LUAD	WOSecondM	15	181	7	172
SMARCA4_ARID1A	LUAD	WithSecondM	1	10	1	4
SMARCA4_ARID1A	LUAD	WOSecondM	15	176	7	179
SMARCA4_ATM	LUAD	WithSecondM	2	17	1	6
SMARCA4_ATM	LUAD	WOSecondM	14	169	7	177
SMARCA4_EGFR	LUAD	WithSecondM	1	28	2	24
SMARCA4_EGFR	LUAD	WOSecondM	15	158	6	159
SMARCA4_RB1	LUAD	WithSecondM	1	4	2	10
SMARCA4_RB1	LUAD	WOSecondM	15	182	6	173
SMARCA4_STK11	LUAD	WithSecondM	5	43	2	16
SMARCA4_STK11	LUAD	WOSecondM	11	143	6	167
SMARCA4_MET	LUAD	WithSecondM	1	5	1	6
SMARCA4_MET	LUAD	WOSecondM	15	181	7	177
SMARCA4_RBM10	LUAD	WithSecondM	2	7	1	17
SMARCA4_RBM10	LUAD	WOSecondM	14	179	7	166
SMARCA4_BRAF	LUAD	WithSecondM	1	10	2	18
SMARCA4_BRAF	LUAD	WOSecondM	15	176	6	165
SMARCA4_NF1	LUAD	WithSecondM	2	8	1	20
SMARCA4_NF1	LUAD	WOSecondM	14	178	7	163
SMARCA4_SETD2	LUAD	WithSecondM	2	9	1	15
SMARCA4_SETD2	LUAD	WOSecondM	14	177	7	168
SMARCA4_KRAS	LUAD	WithSecondM	5	66	1	59
SMARCA4_KRAS	LUAD	WOSecondM	11	120	7	124
