Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
ZNF750_TP53	HNSC	WOSecondM	5	16	4	125
ZNF750_NOTCH1	HNSC	WithSecondM	2	9	2	63
ZNF750_NOTCH1	HNSC	WOSecondM	6	49	11	275
ZNF750_CASP8	HNSC	WithSecondM	1	3	1	46
ZNF750_CASP8	HNSC	WOSecondM	7	55	12	292
ZNF750_PTEN	HNSC	WithSecondM	1	3	1	8
ZNF750_PTEN	HNSC	WOSecondM	7	55	12	330
ZNF750_FAT1	HNSC	WithSecondM	1	7	4	81
ZNF750_FAT1	HNSC	WOSecondM	7	51	9	257
ZNF750_CYLD	HNSC	WithSecondM	1	3	1	9
ZNF750_CYLD	HNSC	WOSecondM	7	55	12	329
ZNF750_RAC1	HNSC	WithSecondM	1	1	1	14
ZNF750_RAC1	HNSC	WOSecondM	7	57	12	324
ZNF750_PIK3CA	HNSC	WithSecondM	3	9	3	58
ZNF750_PIK3CA	HNSC	WOSecondM	5	49	10	280
ZNF750_NSD1	HNSC	WithSecondM	3	5	4	35
ZNF750_NSD1	HNSC	WOSecondM	5	53	9	303
ZNF750_FLNA	HNSC	WithSecondM	1	4	1	10
ZNF750_FLNA	HNSC	WOSecondM	7	54	12	328
ZNF750_CUL3	HNSC	WithSecondM	2	2	2	11
ZNF750_CUL3	HNSC	WOSecondM	6	56	11	327
TP53_HUWE1	HNSC	WithSecondM	5	6	14	19
TP53_HUWE1	HNSC	WOSecondM	92	26	181	113
TP53_EPHA2	HNSC	WithSecondM	4	2	10	8
TP53_EPHA2	HNSC	WOSecondM	93	30	185	124
TP53_KEAP1	HNSC	WithSecondM	5	1	9	5
TP53_KEAP1	HNSC	WOSecondM	92	31	186	127
TP53_NFE2L2	HNSC	WithSecondM	5	3	9	9
TP53_NFE2L2	HNSC	WOSecondM	92	29	186	123
TP53_MYH9	HNSC	WithSecondM	4	3	10	5
TP53_MYH9	HNSC	WOSecondM	93	29	185	127
TP53_RB1	HNSC	WithSecondM	5	2	2	7
TP53_RB1	HNSC	WOSecondM	92	30	193	125
TP53_KDM6A	HNSC	WithSecondM	6	2	9	3
TP53_KDM6A	HNSC	WOSecondM	91	30	186	129
TP53_AJUBA	HNSC	WithSecondM	5	1	16	6
TP53_AJUBA	HNSC	WOSecondM	92	31	179	126
TP53_HRAS	HNSC	WithSecondM	2	1	9	22
TP53_HRAS	HNSC	WOSecondM	95	31	186	110
TP53_FBXW7	HNSC	WithSecondM	9	2	12	11
TP53_FBXW7	HNSC	WOSecondM	88	30	183	121
TP53_TGFBR2	HNSC	WithSecondM	3	2	10	10
TP53_TGFBR2	HNSC	WOSecondM	94	30	185	122
TP53_CDKN2A	HNSC	WithSecondM	21	1	55	6
TP53_CDKN2A	HNSC	WOSecondM	76	31	140	126
TP53_KMT2D	HNSC	WithSecondM	13	6	26	19
TP53_KMT2D	HNSC	WOSecondM	84	26	169	113
TP53_ARID2	HNSC	WithSecondM	2	2	8	7
TP53_ARID2	HNSC	WOSecondM	95	30	187	125
TP53_ZNF750	HNSC	WithSecondM	4	4	5	5
TP53_ZNF750	HNSC	WOSecondM	93	28	190	127
TP53_EP300	HNSC	WithSecondM	6	2	11	16
TP53_EP300	HNSC	WOSecondM	91	30	184	116
TP53_RASA1	HNSC	WithSecondM	6	2	5	2
TP53_RASA1	HNSC	WOSecondM	91	30	190	130
TP53_NOTCH1	HNSC	WithSecondM	17	5	33	26
TP53_NOTCH1	HNSC	WOSecondM	80	27	162	106
TP53_CASP8	HNSC	WithSecondM	7	2	20	23
TP53_CASP8	HNSC	WOSecondM	90	30	175	109
TP53_PTEN	HNSC	WithSecondM	2	1	5	6
TP53_PTEN	HNSC	WOSecondM	95	31	190	126
TP53_FAT1	HNSC	WithSecondM	17	3	55	24
TP53_FAT1	HNSC	WOSecondM	80	29	140	108
TP53_CYLD	HNSC	WithSecondM	2	4	3	6
TP53_CYLD	HNSC	WOSecondM	95	28	192	126
TP53_RAC1	HNSC	WithSecondM	2	1	7	7
TP53_RAC1	HNSC	WOSecondM	95	31	188	125
TP53_PIK3CA	HNSC	WithSecondM	10	8	36	30
TP53_PIK3CA	HNSC	WOSecondM	87	24	159	102
TP53_NSD1	HNSC	WithSecondM	18	8	21	6
TP53_NSD1	HNSC	WOSecondM	79	24	174	126
TP53_FLNA	HNSC	WithSecondM	5	2	7	5
TP53_FLNA	HNSC	WOSecondM	92	30	188	127
TP53_CUL3	HNSC	WithSecondM	4	1	11	2
TP53_CUL3	HNSC	WOSecondM	93	31	184	130
PTEN_HUWE1	HNSC	WithSecondM	2	10	2	33
PTEN_HUWE1	HNSC	WOSecondM	7	108	4	304
PTEN_EPHA2	HNSC	WithSecondM	1	6	1	14
PTEN_EPHA2	HNSC	WOSecondM	8	112	5	323
PTEN_KEAP1	HNSC	WithSecondM	1	10	2	11
PTEN_KEAP1	HNSC	WOSecondM	8	108	4	326
PTEN_NFE2L2	HNSC	WithSecondM	1	10	1	19
PTEN_NFE2L2	HNSC	WOSecondM	8	108	5	318
PTEN_MYH9	HNSC	WithSecondM	2	5	1	14
PTEN_MYH9	HNSC	WOSecondM	7	113	5	323
PTEN_RB1	HNSC	WithSecondM	2	8	1	6
PTEN_RB1	HNSC	WOSecondM	7	110	5	331
PTEN_KDM6A	HNSC	WithSecondM	1	6	1	10
PTEN_KDM6A	HNSC	WOSecondM	8	112	5	327
PTEN_AJUBA	HNSC	WithSecondM	1	11	2	18
PTEN_AJUBA	HNSC	WOSecondM	8	107	4	319
