Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53_MECOM	SKCM	WOSecondM	23	70	7	143
TP53_NRAS	SKCM	WithSecondM	20	34	2	41
TP53_NRAS	SKCM	WOSecondM	14	48	7	133
TP53_RB1	SKCM	WithSecondM	2	2	1	7
TP53_RB1	SKCM	WOSecondM	32	80	8	167
TP53_PPP6C	SKCM	WithSecondM	2	7	2	10
TP53_PPP6C	SKCM	WOSecondM	32	75	7	164
TP53_NF1	SKCM	WithSecondM	6	5	2	20
TP53_NF1	SKCM	WOSecondM	28	77	7	154
TP53_CDKN2A	SKCM	WithSecondM	7	9	4	22
TP53_CDKN2A	SKCM	WOSecondM	27	73	5	152
TP53_DDX3X	SKCM	WithSecondM	6	6	1	11
TP53_DDX3X	SKCM	WOSecondM	28	76	8	163
TP53_RQCD1	SKCM	WithSecondM	2	3	1	5
TP53_RQCD1	SKCM	WOSecondM	32	79	8	169
TP53_RAC1	SKCM	WithSecondM	2	4	2	11
TP53_RAC1	SKCM	WOSecondM	32	78	7	163
TP53_ARID2	SKCM	WithSecondM	3	8	4	17
TP53_ARID2	SKCM	WOSecondM	31	74	5	157
TP53_IDH1	SKCM	WithSecondM	2	2	2	12
TP53_IDH1	SKCM	WOSecondM	32	80	7	162
TP53_COL5A1	SKCM	WithSecondM	15	10	2	25
TP53_COL5A1	SKCM	WOSecondM	19	72	7	149
TP53_DACH1	SKCM	WithSecondM	5	5	2	14
TP53_DACH1	SKCM	WOSecondM	29	77	7	160
TP53_BRD7	SKCM	WithSecondM	1	3	1	4
TP53_BRD7	SKCM	WOSecondM	33	79	8	170
TP53_KIT	SKCM	WithSecondM	1	2	1	9
TP53_KIT	SKCM	WOSecondM	33	80	8	165
TP53_PTEN	SKCM	WithSecondM	4	2	2	21
TP53_PTEN	SKCM	WOSecondM	30	80	7	153
TP53_CDK4	SKCM	WithSecondM	3	4	3	2
TP53_CDK4	SKCM	WOSecondM	31	78	6	172
TP53_BRAF	SKCM	WithSecondM	12	37	5	92
TP53_BRAF	SKCM	WOSecondM	22	45	4	82
