Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
BRCA1	Tquery	1	32	2	79
BRCA1	nonTquery	5	156	7	391
TP53	Tquery	37	14	46	34
TP53	nonTquery	243	217	951	3086
NRAS	Tquery	0	148	4	258
NRAS	nonTquery	46	318	122	2048
RB1	Tquery	1	59	6	115
RB1	nonTquery	20	386	73	1959
NF1	Tquery	0	26	0	60
NF1	nonTquery	37	511	85	1689
KRAS	Tquery	2	265	2	186
KRAS	nonTquery	196	1004	307	2986
