Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
TP53	Tquery	0	26	6	424
TP53	nonTquery	280	205	991	2696
PIK3CA	Tquery	2	85	3	361
PIK3CA	nonTquery	387	1980	541	2836
ATM	Tquery	0	31	11	437
ATM	nonTquery	12	141	69	647
PTEN	Tquery	0	11	5	398
PTEN	nonTquery	61	291	230	2650
PBRM1	Tquery	0	6	1	54
PBRM1	nonTquery	4	46	14	278
BAP1	Tquery	0	6	0	56
BAP1	nonTquery	1	115	15	492
SETD2	Tquery	0	6	1	53
SETD2	nonTquery	3	103	35	821
